year,avg_views,num_episodes,most_viewed_title,max_views
1990,27.66470588235294,13,"""Life on the Fast Lane""",33.5
1991,22.6,21,"""The Way We Was""",26.8
1992,22.508333333333333,23,"""Lisa's First Word""",28.6
1993,20.44054054054054,22,"""Duffless""",25.7
1994,17.451724137931038,20,"""Treehouse of Horror V""",22.2
1995,15.44571428571429,25,"""Homer the Great""",20.1
1996,13.521428571428574,25,"""Treehouse of Horror VII""",18.3
1997,13.431578947368422,24,"""The Springfield Files""",20.9
1998,9.073170731707316,23,"""Bart Carny""",11.7
1999,5.881132075471698,23,"""Viva Ned Flanders""",11.5
2000,9.03823529411765,22,"""The Great Money Caper""",16.8
2001,9.735483870967741,21,"""Worst Episode Ever""",18.5
2002,4.366666666666666,22,"""Large Marge""",17.4
2003,10.480487804878049,22,"""I'm Spelling As Fast As I Can""",22.1
2004,2.4818181818181815,19,"""All's Fair in Oven War""",11.6
2005,12.103333333333337,21,"""Homer and Ned's Hail Mary Pass""",23.1
2006,9.46153846153846,22,"""The Mook, the Chef, the Wife and Her Homer""",11.5
2007,9.187500000000002,22,"""The Wife Aquatic""",13.9
2008,6.942857142857142,20,"""Dangerous Curves""",15.9
2009,6.74074074074074,20,"""Rednecks and Broomsticks""",9.0
2010,7.754347826086956,23,"""Once Upon a Time in Springfield""",14.6
2011,6.545098039215688,22,"""The Ten-Per-Cent Solution""",9.0
2012,6.250980392156861,22,"""The D'oh-cial Network""",11.5
2013,5.021052631578949,22,"""Homer Goes to Prep School""",9.0
2014,6.46862745098039,22,"""Steal This Episode""",12.0
2015,3.3,13,"""Bart's New Friend""",4.3
